,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
257,DMAS,20473.0,6883.0,33,2225,11,10,MFII_14_OR_CCI_20,LAYER_2,Fraksi_1
258,DMAS,20473.0,9289.0,45,1819,9,8,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_1
259,DMAS,20473.0,6661.0,32,4855,23,22,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_1
260,DMAS,22480.0,4160.0,18,753,4,3,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_1
261,DMAS,20473.0,10435.0,50,4281,20,19,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_1
262,DMAS,22480.0,2368.0,10,745,4,3,CCI_20_AND_SO_14,LAYER_2,Fraksi_1
263,DMAS,20473.0,6837.0,33,2471,12,11,CCI_20_OR_SO_14,LAYER_2,Fraksi_1
176,ADMG,31312.0,-6825.0,-21,310,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
177,ADMG,34323.0,-15422.0,-44,3222,14,14,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
178,ADMG,34323.0,-15651.0,-45,2217,10,9,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
179,ADMG,34323.0,-15755.0,-45,1421,7,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
180,ADMG,31111.0,-2841.0,-9,326,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
181,ADMG,34323.0,-14851.0,-43,1917,9,8,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
182,ADMG,34523.0,-15422.0,-44,491,3,2,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
183,ADMG,34523.0,-15422.0,-44,491,3,2,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
184,ADMG,31312.0,-3042.0,-9,327,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
