Date,Open,High,Low,Close,Adj Close,Volume,MFII_14,MFI_Recommend_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,BB_Recommend_20,CCI_20,CCI_Recommend_20,SO_14,SO_Recommend_14
2019-01-01,4300.0,4300.0,4300.0,4300.0,2800.7607421875,0,,,,,,,,,,
2019-01-02,4320.0,4320.0,4220.0,4240.0,2761.680419921875,5920600,,,,,,,,,,
2019-01-03,4180.0,4240.0,4150.0,4160.0,2709.5732421875,16436300,,,,,,,,,,
2019-01-04,4160.0,4390.0,4120.0,4380.0,2852.8681640625,25670400,,,,,,,,,,
2019-01-07,4410.0,4450.0,4360.0,4400.0,2865.89501953125,18429000,,,,,,,,,,
2019-01-08,4420.0,4420.0,4310.0,4370.0,2846.3544921875,10791700,,,,,,,,,,
2019-01-09,4400.0,4420.0,4330.0,4330.0,2820.301025390625,13994100,,,,,,,,,,
2019-01-10,4350.0,4370.0,4260.0,4290.0,2794.247314453125,17745200,,,,,,,,,,
2019-01-11,4290.0,4340.0,4280.0,4330.0,2820.301025390625,13298400,,,,,,,,,,
2019-01-14,4370.0,4390.0,4320.0,4390.0,2859.381591796875,14094100,,,,,,,,,,
2019-01-15,4400.0,4400.0,4340.0,4380.0,2852.8681640625,16836700,,,,,,,,,,
2019-01-16,4400.0,4420.0,4370.0,4380.0,2852.8681640625,13923600,,,,,,,,,,
2019-01-17,4410.0,4500.0,4410.0,4450.0,2898.462158203125,38360000,,,,,,,,,,
2019-01-18,4450.0,4510.0,4450.0,4470.0,2911.48876953125,22593300,72.0246519492602,HOLD,,,,,,,89.74358974358974,SELL
2019-01-21,4500.0,4510.0,4460.0,4470.0,2911.48876953125,12099600,73.46905424829868,HOLD,,,,,,,89.74358974358974,SELL
2019-01-22,4460.0,4460.0,4300.0,4420.0,2878.921630859375,10041300,72.17030997305503,HOLD,,,,,,,76.92307692307692,HOLD
2019-01-23,4330.0,4420.0,4330.0,4390.0,2859.381591796875,10107200,73.86275298558759,HOLD,,,,,,,69.23076923076923,HOLD
2019-01-24,4390.0,4420.0,4350.0,4390.0,2859.381591796875,9429000,72.0154209637957,HOLD,,,,,,,52.0,HOLD
2019-01-25,4400.0,4420.0,4360.0,4370.0,2846.3544921875,5444000,67.66991056243319,HOLD,,,,,,,44.0,HOLD
2019-01-28,4380.0,4440.0,4350.0,4350.0,2833.327880859375,14585000,66.45678135971076,HOLD,4363.0,4508.753216088016,4217.246783911984,BUY,22.15768527481915,SELL,36.0,HOLD
2019-01-29,4360.0,4470.0,4360.0,4380.0,2852.8681640625,14647800,73.08401624592156,HOLD,4367.0,4509.982516413721,4224.017483586279,BUY,48.335613315093184,SELL,48.0,HOLD
2019-01-30,4380.0,4390.0,4300.0,4300.0,2800.7607421875,22200200,71.58082305868221,HOLD,4370.0,4504.461890511772,4235.538109488228,BUY,-62.125748502994185,BUY,8.695652173913043,BUY
2019-01-31,4300.0,4370.0,4300.0,4310.0,2807.2744140625,21052100,63.36109327718236,HOLD,4377.5,4476.267403529706,4278.732596470294,BUY,-95.06398537477187,BUY,4.761904761904762,BUY
2019-02-01,4310.0,4360.0,4310.0,4320.0,2813.787841796875,10496900,62.756723283354106,HOLD,4374.5,4476.3773772728755,4272.6226227271245,BUY,-96.70188920909538,BUY,9.523809523809524,BUY
2019-02-04,4320.0,4350.0,4220.0,4240.0,2761.680419921875,17761000,55.08462898113215,HOLD,4366.5,4483.166190475218,4249.833809524782,BUY,-177.20797720797813,BUY,6.896551724137931,BUY
2019-02-05,4240.0,4240.0,4240.0,4240.0,2761.680419921875,0,52.08962912297701,HOLD,4360.0,4488.996123972776,4231.003876027224,BUY,-184.8089017900354,BUY,6.896551724137931,BUY
2019-02-06,4260.0,4330.0,4250.0,4290.0,2794.247314453125,10841300,44.572450995217345,HOLD,4358.0,4490.0,4226.0,BUY,-98.31335996449299,BUY,24.137931034482758,HOLD
2019-02-07,4340.0,4340.0,4290.0,4310.0,2807.2744140625,6551200,38.957395018773624,HOLD,4359.0,4489.215206485264,4228.784793514736,BUY,-68.23266219239322,BUY,31.03448275862069,HOLD
2019-02-08,4310.0,4320.0,4270.0,4300.0,2800.7607421875,9321800,32.05374458948751,HOLD,4357.5,4489.693040664023,4225.306959335977,BUY,-87.15596330275248,BUY,32.0,HOLD
2019-02-11,4260.0,4290.0,4250.0,4260.0,2774.70751953125,5431800,33.03446040625606,HOLD,4351.0,4488.825977232161,4213.174022767839,BUY,-108.89616185658943,BUY,16.0,BUY
2019-02-12,4300.0,4310.0,4110.0,4190.0,2729.113525390625,10790000,32.98219818965599,HOLD,4341.5,4495.288816238373,4187.711183761627,BUY,-154.8500881834223,BUY,22.22222222222222,HOLD
2019-02-13,4240.0,4280.0,4080.0,4120.0,2683.519775390625,17535900,25.76088731840933,HOLD,4328.5,4508.752600536026,4148.247399463974,BUY,-171.35529374048303,BUY,10.256410256410257,BUY
2019-02-14,4150.0,4190.0,4020.0,4050.0,2637.926025390625,11820200,24.911707894602003,HOLD,4308.5,4516.949034538422,4100.050965461578,BUY,-206.7538609325353,,6.666666666666667,BUY
2019-02-15,4050.0,4080.0,3930.0,3980.0,2592.332275390625,13945700,25.188427784354033,HOLD,4284.0,4523.616360042466,4044.3836399575343,BUY,-233.72395833333425,,9.25925925925926,BUY
2019-02-18,4020.0,4040.0,3960.0,3980.0,2592.332275390625,12340700,16.74060571170527,BUY,4259.5,4517.529068129931,4001.470931870069,BUY,-194.11491044428928,BUY,10.869565217391305,BUY
2019-02-19,4030.0,4240.0,4020.0,4200.0,2735.626953125,25487000,31.060435005044354,HOLD,4248.5,4496.79619409085,4000.2038059091506,BUY,-71.9896027575297,BUY,61.36363636363637,HOLD
2019-02-20,4210.0,4240.0,4110.0,4160.0,2709.5732421875,22225400,43.6980374927471,HOLD,4237.0,4479.2478070076195,3994.7521929923805,BUY,-53.27039784221161,BUY,53.48837209302326,HOLD
2019-02-21,4200.0,4230.0,4160.0,4200.0,2735.626953125,25676300,48.12846985417672,HOLD,4227.5,4459.696037864562,3995.3039621354383,BUY,-29.869827986982525,BUY,64.28571428571429,HOLD
2019-02-22,4200.0,4220.0,4110.0,4130.0,2690.032958984375,13983400,49.23293757956447,HOLD,4215.5,4441.727761337996,3989.2722386620044,BUY,-53.030303030303166,BUY,48.78048780487805,HOLD
2019-02-25,4170.0,4180.0,4130.0,4130.0,2690.032958984375,7772900,47.264670209792826,HOLD,4204.5,4424.815682601128,3984.184317398872,BUY,-51.41451414514099,BUY,48.78048780487805,HOLD
