,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-30,430000.0,1548,431548.0,0.0, ,BUY,BUY,BUY,71.58082305868221,4370.0,4504.461890511772,4235.538109488228,-62.125748502994185,8.695652173913043
1,2019-03-25,414000.0,1904,431548.0,-19452.0, ,SELL,SELL,SELL,59.18017797737972,4041.5,4133.646622292965,3949.3533777070356,172.6998491704372,90.0
2,2019-04-05,402000.0,1447,403447.0,0.0, ,BUY,BUY,BUY,47.45689796589399,4089.0,4242.479640343604,3935.5203596563965,-54.98981670061097,14.285714285714286
3,2019-06-03,306000.0,1407,403447.0,-98854.0, ,SELL,SELL,SELL,69.65928322674294,2973.0,3276.2556677129082,2669.7443322870918,42.82308059132077,91.89189189189189
4,2019-06-12,288000.0,1036,289036.0,0.0, ,BUY,BUY,BUY,46.79403472543513,2939.0,3142.263375943631,2735.736624056369,-36.97916666666679,16.0
5,2019-10-21,235000.0,1081,289036.0,-55117.0, ,SELL,SELL,SELL,62.59060502082787,2264.0,2358.106322848159,2169.893677151841,163.3901266928791,82.75862068965517
6,2019-10-31,225000.0,810,225810.0,0.0, ,BUY,BUY,BUY,55.66953266729937,2296.0,2445.9866660740277,2146.0133339259723,-10.45146920243328,17.24137931034483
7,2019-11-06,246000.0,1131,225810.0,19059.0, ,SELL,SELL,SELL,72.31956078134233,2324.0,2475.5783625719773,2172.4216374280227,133.8582677165354,81.81818181818181
8,2019-11-29,242000.0,871,242871.0,0.0, ,BUY,BUY,BUY,58.27141839379447,2487.5,2656.8369422187666,2318.1630577812334,-44.2773600668336,19.35483870967742
9,2019-12-09,259000.0,1191,242871.0,14938.0, ,SELL,SELL,SELL,73.16874633977798,2509.0,2640.590273196775,2377.409726803225,98.93238434163698,85.18518518518519
