,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-02-05,92200.0,331,92531.0,0.0,BUY,-36.231884057970944
1,2019-02-06,95200.0,437,92531.0,2232.0,SELL,5.957938731047717
2,2019-02-08,92200.0,331,92531.0,0.0,BUY,-52.615951065978116
3,2019-03-22,83200.0,382,92531.0,-9713.0,SELL,83.65987460815028
4,2019-04-11,77400.0,278,77678.0,0.0,BUY,-4.115913009622009
5,2019-04-30,79000.0,363,77678.0,959.0,SELL,61.935330480266366
6,2019-05-02,74000.0,266,74266.0,0.0,BUY,-38.851769364018494
7,2019-05-29,72600.0,333,74266.0,-1999.0,SELL,39.05160390516039
8,2019-06-27,75600.0,272,75872.0,0.0,BUY,-3.3777444173390037
9,2019-06-28,75800.0,348,75872.0,-420.0,SELL,2.2929206076233424
10,2019-07-31,84000.0,302,84302.0,0.0,BUY,-2.6948590381430026
11,2019-08-08,86200.0,396,84302.0,1502.0,SELL,4.816546253010798
12,2019-09-20,116500.0,419,116919.0,0.0,BUY,-11.011011011010718
13,2019-09-27,123000.0,565,116919.0,5516.0,SELL,51.961823966065765
14,2019-10-24,128500.0,462,128962.0,0.0,BUY,-6.036217303822935
15,2019-12-02,115000.0,529,128962.0,-14491.0,SELL,73.01262367792576
16,2019-12-10,108000.0,388,108388.0,0.0,BUY,-2.205258693808158
17,2019-12-12,110500.0,508,108388.0,1604.0,SELL,17.426960533059965
