,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-28,213000.0,766,213766.0,0.0,BUY,BUY,2187.0,2407.099977283052,1966.900022716948,11.11111111111111
1,2019-02-18,253000.0,1163,213766.0,38071.0,SELL,SELL,2180.5,2421.9518585556966,1939.0481414443034,91.45299145299145
2,2019-03-08,235000.0,846,235846.0,0.0,BUY,BUY,2404.0,2789.0921967529334,2018.9078032470666,10.81081081081081
3,2019-03-13,262000.0,1205,235846.0,24949.0,SELL,SELL,2467.0,2741.8890685349274,2192.1109314650726,86.11111111111111
4,2019-04-08,253000.0,910,253910.0,0.0,BUY,BUY,2640.0,2766.649121591901,2513.350878408099,8.0
5,2019-04-18,285000.0,1311,253910.0,29779.0,SELL,SELL,2679.5,2840.5558909198917,2518.4441090801083,89.47368421052632
6,2019-05-16,256000.0,921,256921.0,0.0,BUY,BUY,2845.0,3053.5665361461424,2636.4334638538576,5.555555555555555
7,2019-05-29,290000.0,1334,256921.0,31745.0,SELL,SELL,2775.5,3028.8357456025506,2522.1642543974494,82.75862068965517
8,2019-07-04,285000.0,1026,286026.0,0.0,BUY,BUY,2903.5,2999.682118920307,2807.317881079693,13.043478260869565
9,2019-07-18,311000.0,1430,286026.0,23544.0,SELL,SELL,2920.0,3042.80065146407,2797.19934853593,83.33333333333333
10,2019-11-11,330000.0,1188,331188.0,0.0,BUY,BUY,3494.5,3614.4124680756763,3374.5875319243237,8.51063829787234
