,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-18,40441.27197265625,145,40586.27197265625,0.0,BUY,0.0
1,2019-02-06,41185.589599609375,189,40586.27197265625,410.317626953125,SELL,88.88887370343771
2,2019-02-13,40193.1640625,144,40337.1640625,0.0,BUY,14.285638978309459
3,2019-02-19,42674.224853515625,196,40337.1640625,2141.060791015625,SELL,92.30772142065739
4,2019-04-24,48132.55615234375,173,48305.55615234375,0.0,BUY,0.0
5,2019-05-01,50613.616943359375,232,48305.55615234375,2076.060791015625,SELL,84.61544284131476
6,2019-05-14,47636.34338378906,171,47807.34338378906,0.0,BUY,19.999983599714962
7,2019-06-10,49869.29626464844,229,47807.34338378906,1832.952880859375,SELL,95.45450987539878
8,2019-07-05,48628.76892089844,175,48803.76892089844,0.0,BUY,11.111187038315144
9,2019-07-24,51109.82666015625,235,48803.76892089844,2071.0577392578125,SELL,90.90901975079755
10,2019-09-12,59049.21875,212,59261.21875,0.0,BUY,15.384637219318531
11,2019-09-30,61034.063720703125,280,59261.21875,1492.844970703125,SELL,90.0
12,2019-10-17,56816.265869140625,204,57020.265869140625,0.0,BUY,4.761943810234489
13,2019-10-25,60785.9619140625,279,57020.265869140625,3486.696044921875,SELL,86.20694920430253
