,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-06,159500.0,574,160074.0,0.0, ,BUY,BUY,BUY,35.04428814291576,1610.25,1629.084808201836,1591.415191798164,-107.69230769230778,14.285714285714286
1,2019-03-19,155500.0,715,160074.0,-5289.0, ,SELL,SELL,SELL,39.06549237636946,1519.25,1554.644208565811,1483.855791434189,164.00425985090575,83.33333333333333
2,2019-03-21,150500.0,541,151041.0,0.0, ,BUY,BUY,BUY,42.025021078019336,1516.75,1550.1079076082437,1483.3920923917563,-7.352941176470571,18.75
3,2019-05-01,154500.0,710,151041.0,2749.0, ,SELL,SELL,SELL,52.312490450126404,1508.75,1548.1041611522865,1469.3958388477135,173.47756410256474,100.0
4,2019-05-06,147500.0,531,148031.0,0.0, ,BUY,BUY,BUY,45.34977268734265,1504.5,1544.2366329726128,1464.7633670273872,-161.15791747677656,17.647058823529413
5,2019-06-03,140500.0,646,148031.0,-8177.0, ,SELL,SELL,SELL,40.252980361825244,1377.25,1503.4036761255904,1251.0963238744096,31.48751357220391,96.66666666666667
6,2019-07-08,143500.0,516,144016.0,0.0,BUY,BUY,BUY,BUY,19.70927867008237,1455.5,1495.3622628559924,1415.6377371440076,-138.37535014005573,18.181818181818183
7,2019-07-18,147500.0,678,144016.0,2806.0, ,SELL,SELL,SELL,45.64424780010607,1449.75,1494.075500561192,1405.424499438808,114.28571428571314,95.83333333333333
8,2019-08-05,141000.0,507,141507.0,0.0, ,BUY,BUY,BUY,55.802383988340004,1455.0,1509.0370243444272,1400.9629756555728,-133.03437967115147,10.526315789473685
9,2019-08-16,151000.0,694,141507.0,8799.0, ,SELL,SELL,SELL,70.80042962861846,1456.75,1515.5101055138623,1397.9898944861377,170.54263565891543,100.0
10,2019-11-04,155000.0,558,155558.0,0.0, ,BUY,BUY,BUY,57.45688845881602,1630.0,1691.8869937870625,1568.1130062129375,-150.95785440613028,0.0
11,2019-12-03,160000.0,736,155558.0,3706.0, ,SELL,SELL,SELL,59.538976459673535,1537.5,1603.1124988092977,1471.8875011907023,126.6149870801033,100.0
