,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-01-28,309000.0,1112,310112.0,0.0,BUY,-38.851641739728215
1,2019-01-29,350000.0,1610,310112.0,38278.0,SELL,87.80826073765874
2,2019-02-25,361000.0,1299,362299.0,0.0,BUY,-7.933955183874596
3,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,59.440945751850286
4,2019-04-24,370000.0,1332,371332.0,0.0,BUY,-100.32095369096787
5,2019-04-25,370000.0,1702,371332.0,-3034.0,SELL,43.94353369763191
6,2019-05-24,399000.0,1436,400436.0,0.0,BUY,-33.75527426160357
7,2019-06-17,400000.0,1840,400436.0,-2276.0,SELL,30.13009327442325
8,2019-06-18,400000.0,1440,401440.0,0.0,BUY,-25.310234672564157
9,2019-06-27,410000.0,1886,401440.0,6674.0,SELL,8.468552001236345
10,2019-07-01,400000.0,1440,401440.0,0.0,BUY,-34.50035074293727
11,2019-07-10,410000.0,1886,401440.0,6674.0,SELL,0.3650967506387864
12,2019-07-17,380000.0,1368,381368.0,0.0,BUY,-140.24732996065208
13,2019-07-23,400000.0,1840,381368.0,16792.0,SELL,41.970234759324896
14,2019-09-02,468000.0,1684,469684.0,0.0,BUY,-122.95081967213133
15,2019-09-05,475000.0,2185,469684.0,3131.0,SELL,4.576659038901621
16,2019-09-09,474000.0,1706,475706.0,0.0,BUY,-66.0377358490531
17,2019-09-10,474000.0,2180,475706.0,-3886.0,SELL,91.19496855346307
18,2019-10-01,472000.0,1699,473699.0,0.0,BUY,-73.56321839080053
19,2019-10-14,474000.0,2180,473699.0,-1879.0,SELL,55.880441845349104
20,2019-10-17,472000.0,1699,473699.0,0.0,BUY,-40.57971014493025
21,2019-11-04,475000.0,2185,473699.0,-884.0,SELL,19.102990033222596
22,2019-11-06,460000.0,1656,461656.0,0.0,BUY,-19.525801952579933
23,2019-11-14,475000.0,2185,461656.0,11159.0,SELL,172.6190476190461
