,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14,CCI_20
0,2019-04-26,52000.0,187,52187.0,0.0,BUY,BUY,10.461752059905336,-93.90609390609383
1,2019-05-24,46200.0,212,52187.0,-6199.0,SELL,SELL,80.43641685040426,46.46464646464652
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY,10.151605419231913,-25.12471655328771
3,2019-12-18,31000.0,142,47570.0,-16712.0,SELL,SELL,92.77808890444523,33.81437464629306
