,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-03-29,89000.0,320,89320.0,0.0,BUY,13.790203823986843
1,2019-06-10,78000.0,358,89320.0,-11678.0,SELL,83.76490534517806
