,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,1.4285714285714286
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,100.0
2,2019-05-17,399000.0,1436,400436.0,0.0,BUY,16.470588235294116
3,2019-06-12,480000.0,2208,400436.0,77356.0,SELL,100.0
4,2019-07-02,390000.0,1404,391404.0,0.0,BUY,0.0
5,2019-07-10,410000.0,1886,391404.0,16710.0,SELL,100.0
6,2019-08-28,472000.0,1699,473699.0,0.0,BUY,0.0
7,2019-09-05,475000.0,2185,473699.0,-884.0,SELL,100.0
8,2019-09-27,473000.0,1702,474702.0,0.0,BUY,0.0
9,2019-11-04,475000.0,2185,474702.0,-1887.0,SELL,100.0
10,2019-12-18,484000.0,1742,485742.0,0.0,BUY,0.0
11,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL,100.0
