,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,BUY,3616.5,3943.8698214557967,3289.1301785442033,-17.535042162282828,1.4285714285714286
1,2019-04-03,370000.0,1702,362299.0,5999.0,SELL,SELL,SELL,3580.5,3709.724610659116,3451.275389340884,154.29403202328962,100.0
2,2019-05-24,399000.0,1436,400436.0,0.0,BUY,BUY,BUY,4002.0,4047.8693797647206,3956.1306202352794,-33.75527426160357,0.0
3,2019-07-11,410000.0,1886,400436.0,7678.0,SELL,SELL,SELL,4027.5,4387.326347006441,3667.6736529935583,41.66666666666655,100.0
4,2019-09-02,468000.0,1684,469684.0,0.0,BUY,BUY,BUY,4720.5,4784.523433210036,4656.476566789964,-122.95081967213133,0.0
5,2019-09-06,474000.0,2180,469684.0,2136.0,SELL,SELL,SELL,4723.5,4765.105288125429,4681.894711874571,96.10983981693404,87.5
6,2019-10-01,472000.0,1699,473699.0,0.0,BUY,BUY,BUY,4733.5,4761.266886753829,4705.733113246171,-73.56321839080053,0.0
7,2019-11-05,474000.0,2180,473699.0,-1879.0,SELL,SELL,SELL,4647.0,4837.7983228437815,4456.2016771562185,78.39912280701714,97.05882352941177
