,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-06,159500.0,574,160074.0,0.0,BUY,BUY,1610.25,1629.084808201836,1591.415191798164,14.285714285714286
1,2019-03-19,155500.0,715,160074.0,-5289.0,SELL,SELL,1519.25,1554.644208565811,1483.855791434189,83.33333333333333
2,2019-03-21,150500.0,541,151041.0,0.0,BUY,BUY,1516.75,1550.1079076082437,1483.3920923917563,18.75
3,2019-05-01,154500.0,710,151041.0,2749.0,SELL,SELL,1508.75,1548.1041611522865,1469.3958388477135,100.0
4,2019-05-06,147500.0,531,148031.0,0.0,BUY,BUY,1504.5,1544.2366329726128,1464.7633670273872,17.647058823529413
5,2019-06-03,140500.0,646,148031.0,-8177.0,SELL,SELL,1377.25,1503.4036761255904,1251.0963238744096,96.66666666666667
6,2019-07-08,143500.0,516,144016.0,0.0,BUY,BUY,1455.5,1495.3622628559924,1415.6377371440076,18.181818181818183
7,2019-07-18,147500.0,678,144016.0,2806.0,SELL,SELL,1449.75,1494.075500561192,1405.424499438808,95.83333333333333
8,2019-08-05,141000.0,507,141507.0,0.0,BUY,BUY,1455.0,1509.0370243444272,1400.9629756555728,10.526315789473685
9,2019-08-16,151000.0,694,141507.0,8799.0,SELL,SELL,1456.75,1515.5101055138623,1397.9898944861377,100.0
10,2019-10-07,163000.0,586,163586.0,0.0,BUY,BUY,1670.25,1697.5401080979873,1642.9598919020127,14.285714285714286
11,2019-12-03,160000.0,736,163586.0,-4322.0,SELL,SELL,1537.5,1603.1124988092977,1471.8875011907023,100.0
