,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,SO,MFII_14,SO_14
0,2019-05-17,126000.0,453,126453.0,0.0,BUY,BUY,19.76248560414595,0.0
1,2019-06-18,147000.0,676,126453.0,19871.0,SELL,SELL,81.62446209645316,82.14285714285714
2,2019-07-08,143500.0,516,144016.0,0.0,BUY,BUY,19.70927867008237,18.181818181818183
3,2019-08-22,162500.0,747,144016.0,17737.0,SELL,SELL,83.74300905783853,92.98245614035088
