,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-04-02,32200.0,115,32315.0,0.0,BUY,19.331955850015646
1,2019-06-13,24600.0,113,32315.0,-7828.0,SELL,85.27064358643761
2,2019-08-13,23800.0,85,23885.0,0.0,BUY,18.875809889225508
