,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-04-11,61000.0,219,61219.0,0.0,BUY,0.0
1,2019-05-23,49200.0,226,61219.0,-12245.0,SELL,100.0
2,2019-06-13,45000.0,162,45162.0,0.0,BUY,0.0
3,2019-06-14,49000.0,225,45162.0,3613.0,SELL,80.0
4,2019-08-02,46800.0,168,46968.0,0.0,BUY,4.545454545454546
5,2019-08-23,49400.0,227,46968.0,2205.0,SELL,85.0
6,2019-08-28,45800.0,164,45964.0,0.0,BUY,0.0
7,2019-10-25,38400.0,176,45964.0,-7740.0,SELL,100.0
8,2019-11-07,34600.0,124,34724.0,0.0,BUY,13.636363636363637
9,2019-11-21,33000.0,151,34724.0,-1875.0,SELL,81.81818181818181
10,2019-12-11,27200.0,97,27297.0,0.0,BUY,6.25
11,2019-12-18,31000.0,142,27297.0,3561.0,SELL,84.61538461538461
