,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-24,747500.0,2691,750191.0,0.0,BUY,17.857142857142858
1,2019-02-11,762500.0,3507,750191.0,8802.0,SELL,88.46153846153847
2,2019-02-19,720000.0,2592,722592.0,0.0,BUY,17.391304347826086
3,2019-03-19,737500.0,3392,722592.0,11516.0,SELL,96.66666666666667
4,2019-05-15,742500.0,2673,745173.0,0.0,BUY,18.181818181818183
5,2019-05-23,757500.0,3484,745173.0,8843.0,SELL,85.71428571428571
6,2019-07-22,777500.0,2799,780299.0,0.0,BUY,11.11111111111111
7,2019-10-22,682500.0,3139,780299.0,-100938.0,SELL,91.66666666666667
8,2019-11-28,677500.0,2439,679939.0,0.0,BUY,15.0
9,2019-12-02,710000.0,3266,679939.0,26795.0,SELL,80.0
