,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-28,483000.0,1738,484738.0,0.0,BUY,BUY,4871.5,4923.758970521816,4819.241029478184,0.0
1,2019-03-05,600000.0,2760,484738.0,112502.0,SELL,SELL,4888.5,5398.491176394259,4378.508823605741,97.90794979079497
2,2019-05-02,552500.0,1989,554489.0,0.0,BUY,BUY,5768.75,6043.920401751351,5493.579598248649,16.666666666666668
3,2019-05-10,612500.0,2817,554489.0,55194.0,SELL,SELL,5761.25,6169.133255356235,5353.366744643765,87.5
4,2019-06-04,595000.0,2142,597142.0,0.0,BUY,BUY,5962.5,6178.4282288168915,5746.5717711831085,0.0
5,2019-06-19,602500.0,2771,597142.0,2587.0,SELL,SELL,5906.25,6287.325779865369,5525.174220134631,80.43478260869566
6,2019-07-12,570000.0,2052,572052.0,0.0,BUY,BUY,5951.25,6396.074403557179,5506.425596442821,12.0
7,2019-08-01,580000.0,2668,572052.0,5280.0,SELL,SELL,5627.5,6325.156792413002,4929.843207586998,100.0
8,2019-08-05,510000.0,1836,511836.0,0.0,BUY,BUY,5533.75,6067.668298993394,4999.831701006606,9.67741935483871
9,2019-08-07,580000.0,2668,511836.0,65496.0,SELL,SELL,5513.75,6004.533811876471,5022.966188123529,100.0
10,2019-08-29,570000.0,2052,572052.0,0.0,BUY,BUY,5736.25,6144.133255356235,5328.366744643765,13.043478260869565
11,2019-09-05,620000.0,2852,572052.0,45096.0,SELL,SELL,5861.25,6186.24038447314,5536.25961552686,100.0
12,2019-09-19,560000.0,2016,562016.0,0.0,BUY,BUY,5965.0,6361.358423652127,5568.641576347873,0.0
13,2019-10-28,570000.0,2622,562016.0,5362.0,SELL,SELL,5603.75,5824.133189014043,5383.366810985957,100.0
