,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-28,483000.0,1738,484738.0,0.0,BUY,BUY,4871.5,4923.758970521816,4819.241029478184,-107.86224821312541
1,2019-03-11,600000.0,2760,484738.0,112502.0,SELL,SELL,5147.5,6265.388634882742,4029.611365117258,135.79006141820216
2,2019-03-22,597500.0,2151,599651.0,0.0,BUY,BUY,5670.25,6792.352825056599,4548.147174943401,-10.673476737714166
3,2019-03-26,592500.0,2725,599651.0,-9876.0,SELL,SELL,5779.75,6756.839939565442,4802.660060434558,26.74012077550588
4,2019-03-29,592500.0,2133,594633.0,0.0,BUY,BUY,5944.0,6508.124099822016,5379.875900177984,-2.52869091616417
5,2019-04-15,590000.0,2714,594633.0,-7347.0,SELL,SELL,5832.5,6130.4513383087915,5534.5486616912085,59.09181043029913
6,2019-04-29,555000.0,1998,556998.0,0.0,BUY,BUY,5802.5,5991.510581714358,5613.489418285642,-150.90655509065516
7,2019-05-10,612500.0,2817,556998.0,52685.0,SELL,SELL,5761.25,6169.133255356235,5353.366744643765,135.3507979524241
8,2019-06-04,595000.0,2142,597142.0,0.0,BUY,BUY,5962.5,6178.4282288168915,5746.5717711831085,-7.857358718646569
9,2019-06-19,602500.0,2771,597142.0,2587.0,SELL,SELL,5906.25,6287.325779865369,5525.174220134631,82.3529411764706
10,2019-06-27,585000.0,2106,587106.0,0.0,BUY,BUY,5938.75,6373.052601880301,5504.447398119699,-20.23809523809496
11,2019-07-09,600000.0,2760,587106.0,10134.0,SELL,SELL,5936.25,6502.040376376269,5370.459623623731,109.21985815602872
12,2019-07-10,580000.0,2088,582088.0,0.0,BUY,BUY,5928.75,6497.581038182692,5359.918961817308,-32.94663573085847
13,2019-08-01,580000.0,2668,582088.0,-4756.0,SELL,SELL,5627.5,6325.156792413002,4929.843207586998,46.032847559565056
14,2019-08-02,550000.0,1980,551980.0,0.0,BUY,BUY,5612.5,6307.571938722892,4917.428061277108,-14.836434391341276
15,2019-08-07,580000.0,2668,551980.0,25352.0,SELL,SELL,5513.75,6004.533811876471,5022.966188123529,96.12724757952968
16,2019-08-28,565000.0,2034,567034.0,0.0,BUY,BUY,5741.25,6149.68451127445,5332.81548872555,-32.631144155307545
17,2019-09-02,590000.0,2714,567034.0,20252.0,SELL,SELL,5796.25,6061.897793139712,5530.602206860288,104.28662827895015
18,2019-09-17,585000.0,2106,587106.0,0.0,BUY,BUY,5973.75,6344.3829046374585,5603.1170953625415,-44.31645468362506
19,2019-10-28,570000.0,2622,587106.0,-19728.0,SELL,SELL,5603.75,5824.133189014043,5383.366810985957,127.88259958071438
20,2019-10-29,560000.0,2016,562016.0,0.0,BUY,BUY,5597.5,5810.748681121359,5384.251318878641,-8.032128514057458
21,2019-11-04,575000.0,2645,562016.0,10339.0,SELL,SELL,5637.5,5925.380183409695,5349.619816590305,151.39263252470818
22,2019-11-20,575000.0,2070,577070.0,0.0,BUY,BUY,5817.5,6207.724294476906,5427.275705523094,-36.46514873942237
23,2019-11-29,600000.0,2760,577070.0,20170.0,SELL,SELL,5862.5,6067.13381929681,5657.86618070319,85.01118568232621
24,2019-12-05,575000.0,2070,577070.0,0.0,BUY,BUY,5870.0,6089.999999999998,5650.000000000002,-99.0301174068404
25,2019-12-09,590000.0,2714,577070.0,10216.0,SELL,SELL,5865.0,6079.709105535837,5650.290894464163,27.39018087855317
26,2019-12-12,575000.0,2070,577070.0,0.0,BUY,BUY,5850.0,6059.7617696340285,5640.2382303659715,-59.611703582170975
27,2019-12-18,675000.0,3105,577070.0,94825.0,SELL,SELL,6030.0,6774.580418759451,5285.419581240549,164.64237516869076
