,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14,CCI_20
0,2019-03-29,89000.0,320,89320.0,0.0,BUY,BUY,13.790203823986843,-155.67970204841717
1,2019-07-22,96000.0,441,89320.0,6239.0,SELL,SELL,81.63476265609405,156.52437178322742
