,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-02-12,1045000.0,3762,1048762.0,0.0,BUY,-11.695906432748108
1,2019-03-14,1037500.0,4772,1048762.0,-16034.0,SELL,27.85515320334261
2,2019-03-29,932500.0,3357,935857.0,0.0,BUY,-150.5685218432074
3,2019-04-23,920000.0,4232,935857.0,-20089.0,SELL,18.364518364518844
4,2019-05-17,930000.0,3348,933348.0,0.0,BUY,-38.42536611581327
5,2019-05-21,962500.0,4427,933348.0,24725.0,SELL,12.578616352201527
6,2019-05-22,950000.0,3420,953420.0,0.0,BUY,-14.34087148372863
7,2019-05-23,972500.0,4473,953420.0,14607.0,SELL,51.885764115979725
8,2019-07-08,1002500.0,3609,1006109.0,0.0,BUY,-2.9239766081871252
9,2019-07-10,1012500.0,4657,1006109.0,1734.0,SELL,50.193050193050055
10,2019-09-13,1160000.0,4176,1164176.0,0.0,BUY,-151.9519519519508
11,2019-09-17,1195000.0,5497,1164176.0,25327.0,SELL,47.42486029300668
12,2019-09-23,1187500.0,4275,1191775.0,0.0,BUY,-2.1030494216601725
13,2019-09-26,1200000.0,5520,1191775.0,2705.0,SELL,71.57217531162125
14,2019-10-10,1145000.0,4122,1149122.0,0.0,BUY,-167.53022452504212
15,2019-10-30,1167500.0,5370,1149122.0,13008.0,SELL,4.665629860031109
16,2019-10-31,1162500.0,4185,1166685.0,0.0,BUY,-6.9930069930074765
17,2019-11-01,1162500.0,5347,1166685.0,-9532.0,SELL,4.27350427350427
18,2019-11-04,1135000.0,4086,1139086.0,0.0,BUY,-65.19453207150346
19,2019-11-21,1140000.0,5244,1139086.0,-4330.0,SELL,4.474272930648118
20,2019-11-22,1142500.0,4113,1146613.0,0.0,BUY,-11.924850939362589
21,2019-11-25,1140000.0,5244,1146613.0,-11857.0,SELL,2.450980392157575
22,2019-12-04,1110000.0,3996,1113996.0,0.0,BUY,-124.62060346366694
23,2019-12-10,1137500.0,5232,1113996.0,18272.0,SELL,80.18867924528143
24,2019-12-16,1135000.0,4086,1139086.0,0.0,BUY,-18.678160919538083
25,2019-12-17,1150000.0,5290,1139086.0,5624.0,SELL,75.33759772565628
26,2019-12-26,1127500.0,4059,1131559.0,0.0,BUY,-105.51558752997572
