,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-30,37500.0,135,37635.0,0.0,BUY,BUY,385.45,406.0943696924852,364.8056303075148,13.88888888888889
1,2019-04-10,35300.0,162,37635.0,-2497.0,SELL,SELL,337.6,361.12360516587387,314.0763948341262,84.21052631578948
2,2019-05-09,33700.0,121,33821.0,0.0,BUY,BUY,350.55,372.399256280248,328.70074371975204,11.904761904761905
3,2019-06-03,33000.0,151,33821.0,-972.0,SELL,SELL,316.45,347.7771447789274,285.1228552210726,100.0
4,2019-06-21,32000.0,115,32115.0,0.0,BUY,BUY,331.35,357.1823440670783,305.51765593292174,0.0
5,2019-09-05,25500.0,117,32115.0,-6732.0,SELL,SELL,243.2,258.2678465614621,228.13215343853787,89.65517241379311
6,2019-09-23,23800.0,85,23885.0,0.0,BUY,BUY,249.3,266.49418506355505,232.105814936445,9.75609756097561
7,2019-10-18,24800.0,114,23885.0,801.0,SELL,SELL,231.5,246.05335012977193,216.94664987022807,91.42857142857143
8,2019-11-28,23300.0,83,23383.0,0.0,BUY,BUY,250.3,271.8879596071463,228.71204039285377,13.043478260869565
9,2019-12-09,28000.0,128,23383.0,4489.0,SELL,SELL,253.2,275.79734497678396,230.60265502321602,98.18181818181819
