,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-02-08,59500.0,214,59714.0,0.0,BUY, ,-43.9999999999996
1,2019-02-21,62500.0,287,59714.0,2499.0,SELL, ,7.3884626314292605
2,2019-02-26,60500.0,217,60717.0,0.0,BUY, ,-21.621621621621635
3,2019-03-21,58500.0,269,60717.0,-2486.0,SELL, ,0.5012531328323082
4,2019-03-22,58000.0,208,58208.0,0.0,BUY, ,-31.578947368421055
5,2019-04-10,57500.0,264,58208.0,-972.0,SELL, ,35.08771929824514
6,2019-04-16,57000.0,205,57205.0,0.0,BUY, ,-15.384615384614026
7,2019-04-19,57500.0,264,57205.0,31.0,SELL, ,35.714285714285666
8,2019-04-30,54000.0,194,54194.0,0.0, ,BUY,-211.2068965517253
9,2019-06-11,51500.0,236,54194.0,-2930.0,SELL, ,38.88888888888947
10,2019-06-17,50500.0,181,50681.0,0.0, ,BUY,19.819819819818996
11,2019-06-20,52000.0,239,50681.0,1080.0,SELL, ,31.368102796674126
12,2019-06-21,51000.0,183,51183.0,0.0, ,BUY,26.354319180086588
13,2019-06-25,53500.0,246,51183.0,2071.0,SELL, ,125.2989000478246
14,2019-06-28,51500.0,185,51685.0,0.0,BUY, ,-12.248468941381898
15,2019-07-01,52500.0,241,51685.0,574.0,SELL, ,66.66666666666593
16,2019-07-03,50500.0,181,50681.0,0.0,BUY, ,-56.303549571603746
17,2019-09-09,37800.0,173,50681.0,-13054.0,SELL, ,86.85968819599128
18,2019-09-18,35400.0,127,35527.0,0.0,BUY, ,-31.377106333526903
19,2019-10-28,33800.0,155,35527.0,-1882.0,SELL, ,183.67346938775387
20,2019-11-01,31800.0,114,31914.0,0.0,BUY, ,-51.50631681243871
21,2019-11-05,32400.0,149,31914.0,337.0,SELL, ,39.33434190620302
22,2019-11-07,32000.0,115,32115.0,0.0,BUY, ,-29.640427599610767
23,2019-12-10,29600.0,136,32115.0,-2651.0,SELL, ,33.816425120772884
