,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0, ,BUY,BUY,65.3826474749624,-26.737967914438503,7.246376811594203
1,2019-04-12,275000.0,1265,316134.0,-42399.0, ,SELL,SELL,58.511492089420486,24.366150806717172,95.74468085106383
2,2019-04-24,252000.0,907,252907.0,0.0, ,BUY,BUY,70.9250473776047,-20.32935831913665,17.073170731707318
3,2019-04-29,262000.0,1205,252907.0,7888.0, ,SELL, ,73.49866354306604,5.11033681765368,41.46341463414634
4,2019-05-01,261000.0,939,261939.0,0.0, ,BUY, ,75.92088163288493,-7.836045810729623,39.02439024390244
5,2019-05-30,199500.0,917,261939.0,-63356.0, ,SELL, ,60.84894075154587,5.812365905987943,76.82926829268293
6,2019-06-13,194500.0,700,195200.0,0.0, , ,BUY,67.71548927343252,6.398647832910894,18.181818181818183
7,2019-06-20,220000.0,1012,195200.0,23788.0, ,SELL,SELL,68.10260537383533,154.39170758319705,92.85714285714286
8,2019-08-23,327000.0,1177,328177.0,0.0, ,BUY, ,61.52538104060598,-45.42992768167197,26.881720430107528
9,2019-08-27,349000.0,1605,328177.0,19218.0, ,SELL, ,60.65318588686779,6.63382594417083,48.31460674157304
10,2019-09-04,340000.0,1224,341224.0,0.0, ,BUY, ,39.50076657910346,-66.02031394275178,38.20224719101124
11,2019-10-14,304000.0,1398,341224.0,-38622.0, , ,SELL,63.07133728056519,-0.8444574360972487,93.47826086956522
12,2019-11-15,312000.0,1123,313123.0,0.0, ,BUY,BUY,69.73036800401718,-72.38095238095264,4.444444444444445
13,2019-12-13,312000.0,1435,313123.0,-2558.0, ,SELL,SELL,54.127101610352845,59.271492797504536,88.88888888888889
14,2019-12-18,300000.0,1080,301080.0,0.0, ,BUY, ,55.913639650020905,-26.748971193415464,58.333333333333336
