,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,SO,MFII_14,SO_14
0,2019-08-07,37600.0,135,37735.0,0.0,BUY,BUY,15.595834313234093,7.6923076923076925
1,2019-08-14,41000.0,188,37735.0,3077.0,SELL,SELL,81.38891707591449,100.0
