,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-28,378000.0,1360,379360.0,0.0,BUY,15.625
1,2019-02-11,393000.0,1807,379360.0,11833.0,SELL,80.0
2,2019-02-14,374000.0,1346,375346.0,0.0,BUY,4.761904761904762
3,2019-02-18,390000.0,1794,375346.0,12860.0,SELL,80.95238095238095
4,2019-03-07,382000.0,1375,383375.0,0.0,BUY,0.0
5,2019-03-26,382000.0,1757,383375.0,-3132.0,SELL,100.0
6,2019-04-12,383000.0,1378,384378.0,0.0,BUY,16.129032258064516
7,2019-05-08,390000.0,1794,384378.0,3828.0,SELL,90.0
8,2019-05-15,366000.0,1317,367317.0,0.0,BUY,0.0
9,2019-05-29,378000.0,1738,367317.0,8945.0,SELL,83.33333333333333
10,2019-07-24,419000.0,1508,420508.0,0.0,BUY,14.285714285714286
11,2019-07-30,427000.0,1964,420508.0,4528.0,SELL,84.21052631578948
12,2019-08-05,408000.0,1468,409468.0,0.0,BUY,8.333333333333334
13,2019-08-08,426000.0,1959,409468.0,14573.0,SELL,84.0
14,2019-09-05,432000.0,1555,433555.0,0.0,BUY,18.181818181818183
15,2019-09-26,436000.0,2005,433555.0,440.0,SELL,95.45454545454545
16,2019-10-04,419000.0,1508,420508.0,0.0,BUY,16.0
17,2019-10-22,423000.0,1945,420508.0,547.0,SELL,89.47368421052632
18,2019-10-31,411000.0,1479,412479.0,0.0,BUY,10.714285714285714
19,2019-12-05,406000.0,1867,412479.0,-8346.0,SELL,89.65517241379311
20,2019-12-19,390000.0,1404,391404.0,0.0,BUY,0.0
