,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-18,485000.0,1746,486746.0,0.0,BUY, ,BUY,0.0,,,,0.0
1,2019-03-05,600000.0,2760,486746.0,110494.0,SELL,SELL,SELL,100.0,4888.5,5398.491176394259,4378.508823605741,97.90794979079497
2,2019-04-12,590000.0,2124,592124.0,0.0,BUY,BUY, ,12.201934516112345,5837.5,6143.07323181195,5531.92676818805,98.11320754716981
3,2019-04-15,590000.0,2714,592124.0,-4838.0, ,SELL,SELL,12.201934516112345,5832.5,6130.4513383087915,5534.5486616912085,98.11320754716981
4,2019-04-25,580000.0,2088,582088.0,0.0,BUY,BUY, ,0.0,5800.0,6050.0,5550.0,92.3076923076923
5,2019-04-26,580000.0,2668,582088.0,-4756.0, ,SELL,SELL,0.0,5793.75,6037.099029174147,5550.400970825853,92.3076923076923
6,2019-04-29,555000.0,1998,556998.0,0.0,BUY,BUY, ,0.0,5802.5,5991.510581714358,5613.489418285642,73.07692307692308
7,2019-05-09,612500.0,2817,556998.0,52685.0, , ,SELL,37.07984978905562,5750.0,6128.483817355511,5371.516182644489,87.5
8,2019-05-29,595000.0,2142,597142.0,0.0,BUY, ,BUY,0.0,5877.5,6290.991233280707,5464.008766719293,0.0
9,2019-06-18,602500.0,2771,597142.0,2587.0,SELL, ,SELL,83.55501813784764,5902.5,6280.2896239972715,5524.7103760027285,80.43478260869566
10,2019-07-10,580000.0,2088,582088.0,0.0,BUY,BUY, ,7.413263711412242,5928.75,6497.581038182692,5359.918961817308,20.0
11,2019-07-31,580000.0,2668,582088.0,-4756.0, , ,SELL,58.14195000054089,5632.5,6336.435366351201,4928.564633648799,88.57142857142857
12,2019-08-05,510000.0,1836,511836.0,0.0, ,BUY,BUY,62.72333671766504,5533.75,6067.668298993394,4999.831701006606,9.67741935483871
13,2019-08-07,580000.0,2668,511836.0,65496.0, ,SELL,SELL,68.54771212225647,5513.75,6004.533811876471,5022.966188123529,100.0
14,2019-08-29,570000.0,2052,572052.0,0.0, ,BUY,BUY,35.99022004889976,5736.25,6144.133255356235,5328.366744643765,13.043478260869565
15,2019-09-04,620000.0,2852,572052.0,45096.0, , ,SELL,68.50582803668661,5831.25,6135.74753693585,5526.75246306415,100.0
16,2019-09-19,560000.0,2016,562016.0,0.0,BUY,BUY,BUY,8.209978070175438,5965.0,6361.358423652127,5568.641576347873,0.0
17,2019-10-22,562500.0,2587,562016.0,-2103.0,SELL, ,SELL,100.0,5642.5,5816.497126413051,5468.502873586949,100.0
18,2019-10-24,515000.0,1854,516854.0,0.0, ,BUY,BUY,26.690391459074732,5616.25,5892.0556380859525,5340.4443619140475,0.0
19,2019-10-25,570000.0,2622,516854.0,50524.0, , ,SELL,68.24798766912143,5618.75,5896.6326191038215,5340.8673808961785,100.0
20,2019-11-25,575000.0,2070,577070.0,0.0,BUY,BUY, ,14.285714285714292,5852.5,6088.031314266276,5616.968685733724,42.857142857142854
21,2019-11-29,600000.0,2760,577070.0,20170.0, ,SELL,SELL,28.37642524490124,5862.5,6067.13381929681,5657.86618070319,100.0
