,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-02-22,1040000.0,3744,1043744.0,0.0,BUY,19.180736736139536
1,2019-05-01,972500.0,4473,1043744.0,-75717.0,SELL,81.20594511319447
