,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-01-18,40441.27197265625,145,40586.27197265625,0.0, ,BUY,
1,2019-02-06,41185.589599609375,189,40586.27197265625,410.317626953125, ,SELL,-1.7137670664070221
2,2019-02-13,40193.1640625,144,40337.1640625,0.0,BUY, ,-26.26904059150791
3,2019-02-18,41185.589599609375,189,40337.1640625,659.425537109375,SELL, ,43.5871104698531
4,2019-03-22,49869.29626464844,179,50048.29626464844,0.0,BUY, ,-50.84768362572387
5,2019-04-10,50365.509033203125,231,50048.29626464844,86.2127685546875,SELL, ,74.07396750951042
6,2019-04-22,49373.08654785156,177,49550.08654785156,0.0,BUY, ,-118.08452375987524
7,2019-04-30,50613.616943359375,232,49550.08654785156,831.5303955078125,SELL, ,66.5995214673706
8,2019-05-02,49621.19140625,178,49799.19140625,0.0,BUY, ,-24.422448031994538
9,2019-05-30,47636.34338378906,219,49799.19140625,-2381.8480224609375,SELL, ,26.008928012297428
10,2019-07-03,49124.97863769531,176,49300.97863769531,0.0,BUY, ,-2.143678678144957
11,2019-07-09,49621.19140625,228,49300.97863769531,92.2127685546875,SELL, ,14.184463053830637
12,2019-07-12,49124.97863769531,176,49300.97863769531,0.0,BUY, ,-83.57629253692522
13,2019-07-23,49869.29626464844,229,49300.97863769531,339.317626953125,SELL, ,40.32917636258601
14,2019-09-12,59049.21875,212,59261.21875,0.0,BUY, ,-19.84124067124678
15,2019-09-30,61034.063720703125,280,59261.21875,1492.844970703125,SELL, ,35.180690711681684
16,2019-10-08,58056.793212890625,209,58265.793212890625,0.0,BUY, ,-3.9448814570266246
17,2019-10-11,59545.428466796875,273,58265.793212890625,1006.63525390625,SELL, ,29.798368141703293
18,2019-10-17,56816.265869140625,204,57020.265869140625,0.0,BUY, ,-66.49098027564455
19,2019-10-25,60785.9619140625,279,57020.265869140625,3486.696044921875,SELL, ,115.19605422462563
20,2019-11-11,58553.009033203125,210,58763.009033203125,0.0,BUY, ,-13.6726484493502
21,2019-11-13,59793.536376953125,275,58763.009033203125,755.52734375,SELL, ,17.526497921169586
22,2019-11-20,60289.74609375,217,60506.74609375,0.0,BUY, ,-11.131773589235278
23,2019-11-21,62026.4892578125,285,60506.74609375,1234.7431640625,SELL, ,95.49075699965171
