,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14,CCI_20
0,2019-02-22,1040000.0,3744,1043744.0,0.0,BUY,BUY,19.180736736139536,-132.38584024213748
1,2019-07-23,1072500.0,4933,1043744.0,23823.0,SELL,SELL,80.20306011126095,132.33458177278354
