,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-03-08,99000.0,356,99356.0,0.0,BUY,BUY,-66.78959229666043,9.090909090909092
1,2019-06-20,80500.0,370,99356.0,-19226.0,SELL,SELL,142.71575613618344,81.81818181818181
2,2019-08-05,86000.0,309,86309.0,0.0,BUY,BUY,-59.97144217039505,3.8461538461538463
3,2019-08-07,100500.0,462,86309.0,13729.0,SELL,SELL,161.301671064204,87.5
4,2019-09-16,105000.0,378,105378.0,0.0,BUY,BUY,-47.3815461346638,16.666666666666668
5,2019-12-09,82500.0,379,105378.0,-23257.0,SELL,SELL,63.208109719737344,81.81818181818181
