,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-10-02,652500.0,2349,654849.0,0.0,BUY,14.242611322669845
1,2019-10-23,707500.0,3254,654849.0,49397.0,SELL,85.70061546175495
