,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-08-29,203000.0,730,203730.0,0.0,BUY,BUY,14.874211390909565,2232.0,2406.310068556007,2057.689931443993
1,2019-11-21,215000.0,989,203730.0,10281.0,SELL,SELL,84.81010670114036,1921.0,2104.673623582701,1737.3263764172987
