,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-05-16,50000.0,180,50180.0,0.0,BUY,BUY,BUY,18.096570417016835,508.7,525.8592540630423,491.5407459369577,-66.3484486873507
1,2019-07-30,53500.0,246,50180.0,3074.0,SELL,SELL,SELL,80.62469274394942,511.2,534.052570971338,488.34742902866196,187.5658587987348
2,2019-08-27,54500.0,196,54696.0,0.0,BUY,BUY,BUY,9.529396430426289,545.5,558.8790881602633,532.1209118397367,-40.0432900432889
