,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-05-20,47140.13366699219,169,47309.13366699219,0.0,BUY,BUY,18.124259727642354,486.41173095703124,509.39202464411875,463.43143726994373
1,2019-06-10,49869.29626464844,229,47309.13366699219,2331.16259765625,SELL,SELL,80.65430245957974,471.401318359375,490.0340531024,452.76858361635004
2,2019-09-20,57808.69140625,208,58016.69140625,0.0,BUY,BUY,12.14735876475784,598.0594146728515,634.0638474009763,562.0549819447267
