,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-02-15,760000.0,2736,762736.0,0.0,BUY,19.794234514466126
1,2019-04-17,775000.0,3565,762736.0,8699.0,SELL,82.36061851232576
2,2019-05-20,690000.0,2484,692484.0,0.0,BUY,19.320459762963438
