,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-28,378000.0,1360,379360.0,0.0,BUY,BUY,3857.0,4067.3425777154976,3646.6574222845024,15.625
1,2019-02-19,392000.0,1803,379360.0,10837.0,SELL,SELL,3846.5,3953.8824939177707,3739.1175060822293,90.47619047619048
2,2019-03-07,382000.0,1375,383375.0,0.0,BUY,BUY,3860.0,3962.371871136558,3757.628128863442,0.0
3,2019-03-27,382000.0,1757,383375.0,-3132.0,SELL,SELL,3801.0,3895.8472456110353,3706.1527543889647,84.61538461538461
4,2019-04-12,383000.0,1378,384378.0,0.0,BUY,BUY,3882.5,4050.6517172080025,3714.3482827919975,16.129032258064516
5,2019-05-08,390000.0,1794,384378.0,3828.0,SELL,SELL,3847.5,3919.57634840917,3775.42365159083,90.0
6,2019-05-15,366000.0,1317,367317.0,0.0,BUY,BUY,3822.0,3935.066352200821,3708.933647799179,0.0
7,2019-05-30,378000.0,1738,367317.0,8945.0,SELL,SELL,3728.5,3951.683780772708,3505.316219227292,83.33333333333333
8,2019-07-24,419000.0,1508,420508.0,0.0,BUY,BUY,4239.5,4349.31347822558,4129.68652177442,14.285714285714286
9,2019-07-30,427000.0,1964,420508.0,4528.0,SELL,SELL,4246.5,4331.652803829352,4161.347196170648,84.21052631578948
10,2019-08-05,408000.0,1468,409468.0,0.0,BUY,BUY,4241.5,4357.133040260991,4125.866959739009,8.333333333333334
11,2019-08-08,426000.0,1959,409468.0,14573.0,SELL,SELL,4226.0,4336.34491379307,4115.65508620693,84.0
12,2019-09-05,432000.0,1555,433555.0,0.0,BUY,BUY,4348.0,4480.6046756340065,4215.3953243659935,18.181818181818183
13,2019-10-22,423000.0,1945,433555.0,-12500.0,SELL,SELL,4198.0,4333.735036007657,4062.2649639923425,89.47368421052632
14,2019-10-31,411000.0,1479,412479.0,0.0,BUY,BUY,4198.5,4343.727407881571,4053.2725921184297,10.714285714285714
15,2019-12-06,410000.0,1886,412479.0,-4365.0,SELL,SELL,4010.0,4199.525723847714,3820.4742761522857,100.0
16,2019-12-19,390000.0,1404,391404.0,0.0,BUY,BUY,3972.5,4118.633500608177,3826.366499391823,0.0
