,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-06,159500.0,574,160074.0,0.0,BUY,BUY,1610.25,1629.084808201836,1591.415191798164,-107.69230769230778
1,2019-03-18,154500.0,710,160074.0,-6284.0,SELL,SELL,1519.0,1553.4383507154469,1484.5616492845531,142.67834793491755
2,2019-03-21,150500.0,541,151041.0,0.0,BUY,BUY,1516.75,1550.1079076082437,1483.3920923917563,-7.352941176470571
3,2019-04-04,153500.0,706,151041.0,1753.0,SELL,SELL,1517.5,1550.1343377441633,1484.8656622558367,81.68642951251645
4,2019-04-05,151000.0,543,151543.0,0.0,BUY,BUY,1516.75,1549.349846625408,1484.150153374592,-4.287245444803666
5,2019-05-01,154500.0,710,151543.0,2247.0,SELL,SELL,1508.75,1548.1041611522865,1469.3958388477135,173.47756410256474
6,2019-05-02,151000.0,543,151543.0,0.0,BUY,BUY,1507.5,1544.9833296279846,1470.0166703720154,-5.347593582887726
7,2019-06-03,140500.0,646,151543.0,-11689.0,SELL,SELL,1377.25,1503.4036761255904,1251.0963238744096,31.48751357220391
8,2019-07-03,144500.0,520,145020.0,0.0,BUY,BUY,1452.75,1501.7882503766216,1403.7117496233784,-1.576044129236338
9,2019-07-18,147500.0,678,145020.0,1802.0,SELL,SELL,1449.75,1494.075500561192,1405.424499438808,114.28571428571314
10,2019-08-05,141000.0,507,141507.0,0.0,BUY,BUY,1455.0,1509.0370243444272,1400.9629756555728,-133.03437967115147
11,2019-08-16,151000.0,694,141507.0,8799.0,SELL,SELL,1456.75,1515.5101055138623,1397.9898944861377,170.54263565891543
12,2019-09-20,166500.0,599,167099.0,0.0,BUY,BUY,1669.0,1705.9594372251504,1632.0405627748496,-9.879253567508238
13,2019-10-30,164500.0,756,167099.0,-3355.0,SELL,SELL,1638.0,1684.9467783772209,1591.0532216227791,34.89771359807407
14,2019-10-31,159500.0,574,160074.0,0.0,BUY,BUY,1635.25,1685.3972830769515,1585.1027169230485,-91.16809116809071
15,2019-12-03,160000.0,736,160074.0,-810.0,SELL,SELL,1537.5,1603.1124988092977,1471.8875011907023,126.6149870801033
