,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-24,138000.0,496,138496.0,0.0, , ,BUY,,,,,13.333333333333334
1,2019-02-21,141500.0,650,138496.0,2354.0,SELL,SELL,SELL,1326.5,1441.8299614150637,1211.1700385849363,81.18925100057152,97.5609756097561
2,2019-03-01,131000.0,471,131471.0,0.0,BUY,BUY, ,1322.5,1438.1935607542619,1206.8064392457381,-7.850029291153964,38.775510204081634
3,2019-03-05,140000.0,644,131471.0,7885.0,SELL,SELL, ,1327.0,1451.3945336419574,1202.6054663580426,107.5584556824362,75.51020408163265
4,2019-03-25,134500.0,484,134984.0,0.0,BUY,BUY,BUY,1395.75,1483.001074491951,1308.498925508049,-77.94925451216324,6.896551724137931
5,2019-04-30,130500.0,600,134984.0,-5084.0,SELL,SELL, ,1293.75,1326.7462119037953,1260.7537880962047,120.39246884115641,56.25
6,2019-05-08,129500.0,466,129966.0,0.0,BUY,BUY, ,1303.25,1335.386427928445,1271.113572071555,-30.724637681159862,35.0
7,2019-05-27,126500.0,581,129966.0,-4047.0,SELL,SELL, ,1263.0,1364.3607419073096,1161.6392580926904,6.981548763980779,70.0
8,2019-06-14,123500.0,444,123944.0,0.0,BUY,BUY,BUY,1269.5,1328.2281874401058,1210.7718125598942,-61.24852767962353,5.882352941176471
9,2019-06-25,133000.0,611,123944.0,8445.0, ,SELL,SELL,1274.0,1326.4022900262976,1221.5977099737024,92.50398724082949,95.83333333333333
10,2019-07-12,128000.0,460,128460.0,0.0,BUY,BUY, ,1330.5,1468.5181147531007,1192.4818852468993,-38.885719718577825,20.833333333333332
11,2019-08-26,112000.0,515,128460.0,-16975.0, , ,SELL,1101.5,1259.2371230877516,943.7628769122483,-9.132420091324281,81.48148148148148
12,2019-09-24,129500.0,466,129966.0,0.0,BUY,BUY, ,1315.75,1555.7140598089643,1075.7859401910357,-1.4222503160557693,28.30188679245283
13,2019-10-15,133000.0,611,129966.0,2423.0, ,SELL,SELL,1307.25,1396.942530346736,1217.557469653264,8.840864440078128,87.5
14,2019-10-30,130500.0,469,130969.0,0.0,BUY,BUY, ,1313.75,1391.7804427771632,1235.7195572228368,-0.8658008658010227,30.434782608695652
15,2019-11-05,137000.0,630,130969.0,5401.0, ,SELL,SELL,1322.0,1393.8609768928877,1250.1390231071123,53.65853658536582,88.88888888888889
16,2019-11-14,130000.0,468,130468.0,0.0,BUY,BUY, ,1351.0,1438.2123844416612,1263.7876155583388,-86.56330749353992,26.31578947368421
17,2019-12-05,146000.0,671,130468.0,14861.0,SELL,SELL,SELL,1334.5,1445.8956911195407,1223.1043088804593,161.61181616118196,100.0
