,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-03-08,99000.0,356,99356.0,0.0,BUY,9.090909090909092
1,2019-06-10,78000.0,358,99356.0,-21714.0,SELL,80.0
2,2019-08-05,86000.0,309,86309.0,0.0,BUY,3.8461538461538463
3,2019-08-07,100500.0,462,86309.0,13729.0,SELL,87.5
4,2019-08-27,102000.0,367,102367.0,0.0,BUY,7.142857142857143
5,2019-09-02,117000.0,538,102367.0,14095.0,SELL,96.875
6,2019-09-16,105000.0,378,105378.0,0.0,BUY,16.666666666666668
7,2019-12-09,82500.0,379,105378.0,-23257.0,SELL,81.81818181818181
