,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0,BUY,BUY,BUY,3336.0,3944.9137870010863,2727.0862129989137,-26.737967914438503,7.246376811594203
1,2019-04-12,275000.0,1265,316134.0,-42399.0, ,SELL,SELL,2624.5,3010.9440451087344,2238.0559548912656,24.366150806717172,95.74468085106383
2,2019-04-24,252000.0,907,252907.0,0.0,BUY,BUY,BUY,2583.0,2846.7498815165636,2319.2501184834364,-20.32935831913665,17.073170731707318
3,2019-05-30,199500.0,917,252907.0,-54324.0,SELL,SELL, ,1969.5,2341.7485728649594,1597.2514271350403,5.812365905987943,76.82926829268293
4,2019-06-13,194500.0,700,195200.0,0.0,BUY, ,BUY,1967.0,2191.017856431132,1742.9821435688684,6.398647832910894,18.181818181818183
5,2019-06-20,220000.0,1012,195200.0,23788.0, ,SELL,SELL,2019.0,2154.484316435517,1883.515683564483,154.39170758319705,92.85714285714286
6,2019-08-23,327000.0,1177,328177.0,0.0,BUY,BUY, ,3466.0,3851.4036844660473,3080.5963155339527,-45.42992768167197,26.881720430107528
7,2019-08-28,364000.0,1674,328177.0,34149.0,SELL,SELL, ,3486.0,3872.0259058664387,3099.9740941335613,41.89202478119774,65.1685393258427
8,2019-09-04,340000.0,1224,341224.0,0.0,BUY,BUY, ,3568.0,3865.1598896217406,3270.8401103782594,-66.02031394275178,38.20224719101124
9,2019-10-14,304000.0,1398,341224.0,-38622.0, , ,SELL,2919.0,3333.7240046102984,2504.2759953897016,-0.8444574360972487,93.47826086956522
10,2019-11-15,312000.0,1123,313123.0,0.0,BUY,BUY,BUY,3277.5,3503.8514965711606,3051.1485034288394,-72.38095238095264,4.444444444444445
11,2019-12-13,312000.0,1435,313123.0,-2558.0, ,SELL,SELL,3052.0,3217.481116747511,2886.518883252489,59.271492797504536,88.88888888888889
12,2019-12-18,300000.0,1080,301080.0,0.0,BUY,BUY, ,3038.5,3184.8249807790976,2892.1750192209024,-26.748971193415464,58.333333333333336
