,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-04-12,103000.0,370,103370.0,0.0,BUY,BUY,BUY,18.04585949568161,1096.25,1150.1828285926113,1042.3171714073887,8.695652173913043
1,2019-06-18,111000.0,510,103370.0,7120.0,SELL,SELL,SELL,83.26913431749134,995.75,1097.988691306179,893.5113086938211,96.96969696969697
2,2019-09-05,100500.0,361,100861.0,0.0,BUY,BUY,BUY,13.116932244293281,1057.5,1106.3364617882996,1008.6635382117004,14.285714285714286
3,2019-12-18,98000.0,450,100861.0,-3311.0,SELL,SELL,SELL,83.08420402525726,941.5,981.761644278398,901.238355721602,95.23809523809524
