,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-02-26,47400.0,170,47570.0,0.0, ,BUY,87.70623848038397
1,2019-02-27,47400.0,218,47570.0,-388.0,SELL, ,87.62491768613069
2,2019-03-13,47600.0,171,47771.0,0.0, ,BUY,47.35306012837199
3,2019-03-14,49400.0,227,47771.0,1402.0, ,SELL,50.54768949353045
4,2019-04-18,50500.0,181,50681.0,0.0, ,BUY,88.8626013259053
5,2019-04-19,50500.0,232,50681.0,-413.0,SELL, ,88.8626013259053
6,2019-04-22,50500.0,181,50681.0,0.0, ,BUY,79.63068622432921
7,2019-04-29,52500.0,241,50681.0,1578.0, ,SELL,65.6308567166028
8,2019-05-08,51000.0,183,51183.0,0.0, ,BUY,35.627555744427696
9,2019-05-13,50500.0,232,51183.0,-915.0, ,SELL,52.494736685553264
10,2019-05-15,50000.0,180,50180.0,0.0, ,BUY,40.92948718978966
11,2019-05-22,51500.0,236,50180.0,1084.0, ,SELL,18.834837044459007
12,2019-05-23,50000.0,180,50180.0,0.0, ,BUY,22.32515395643526
13,2019-05-27,51500.0,236,50180.0,1084.0, ,SELL,22.81528567195916
14,2019-05-29,51000.0,183,51183.0,0.0, ,BUY,21.851397086879885
15,2019-05-30,51000.0,234,51183.0,-417.0, ,SELL,10.089581828096627
16,2019-05-31,50500.0,181,50681.0,0.0,BUY, ,5.251546207848378
17,2019-06-11,51000.0,234,50681.0,85.0, ,SELL,2.7445674741451853
18,2019-06-12,51500.0,185,51685.0,0.0,BUY, ,5.645071146454342
19,2019-06-14,51000.0,234,51685.0,-919.0, ,SELL,4.346685372995154
20,2019-06-17,51500.0,185,51685.0,0.0,BUY, ,4.269023648829858
21,2019-06-18,52000.0,239,51685.0,76.0, ,SELL,3.8295094991896548
22,2019-06-20,52500.0,189,52689.0,0.0,BUY, ,4.109751874150902
23,2019-06-24,52000.0,239,52689.0,-928.0, ,SELL,10.37706106546942
24,2019-06-25,52000.0,187,52187.0,0.0,BUY, ,10.427199384400765
25,2019-06-26,52500.0,241,52187.0,72.0, ,SELL,11.113858705760393
26,2019-06-27,51000.0,183,51183.0,0.0,BUY, ,11.016863143580409
27,2019-07-01,51500.0,236,51183.0,81.0, ,SELL,20.73703577328473
28,2019-07-02,50000.0,180,50180.0,0.0,BUY, ,18.49788893359934
29,2019-07-09,51500.0,236,50180.0,1084.0, ,SELL,69.08740789930233
30,2019-07-12,51000.0,183,51183.0,0.0, ,BUY,36.482793130872224
31,2019-07-24,51000.0,234,51183.0,-417.0, ,SELL,41.14901619343692
32,2019-08-19,54000.0,194,54194.0,0.0, ,BUY,38.19152824507464
33,2019-08-20,54000.0,248,54194.0,-442.0, ,SELL,30.266307102529368
34,2019-08-23,54500.0,196,54696.0,0.0, ,BUY,26.650204796149012
35,2019-08-28,54500.0,250,54696.0,-446.0, ,SELL,13.953022605129192
36,2019-08-29,50000.0,180,50180.0,0.0,BUY, ,17.08966206989831
37,2019-08-30,56000.0,257,50180.0,5563.0, ,SELL,37.99059117323928
38,2019-09-04,53000.0,190,53190.0,0.0, ,BUY,78.23909614373468
39,2019-09-27,52000.0,239,53190.0,-1429.0, ,SELL,3.3405588370620904
40,2019-09-30,51000.0,183,51183.0,0.0,BUY, ,18.742283229361092
41,2019-10-08,52000.0,239,51183.0,578.0, ,SELL,29.797990461628856
42,2019-10-10,50500.0,181,50681.0,0.0, ,BUY,29.859700111933975
43,2019-10-11,51500.0,236,50681.0,583.0, ,SELL,65.62103408632814
44,2019-10-15,50000.0,180,50180.0,0.0, ,BUY,64.15015585872811
45,2019-10-16,51500.0,236,50180.0,1084.0, ,SELL,53.28718091233617
46,2019-10-29,51000.0,183,51183.0,0.0, ,BUY,34.92625067774213
47,2019-12-23,45000.0,207,51183.0,-6390.0, ,SELL,55.44717185109786
48,2019-12-26,44800.0,161,44961.0,0.0, ,BUY,50.27383772277373
