,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,SO,MFII_14,SO_14
0,2019-10-02,652500.0,2349,654849.0,0.0,BUY,BUY,14.242611322669845,3.3333333333333335
1,2019-10-23,707500.0,3254,654849.0,49397.0,SELL,SELL,85.70061546175495,96.7741935483871
