,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-28,483000.0,1738,484738.0,0.0,BUY,BUY,BUY,0.0,4871.5,4923.758970521816,4819.241029478184,0.0
1,2019-03-05,600000.0,2760,484738.0,112502.0,SELL,SELL,SELL,100.0,4888.5,5398.491176394259,4378.508823605741,97.90794979079497
2,2019-05-02,552500.0,1989,554489.0,0.0,BUY,BUY,BUY,0.0,5768.75,6043.920401751351,5493.579598248649,16.666666666666668
3,2019-06-19,602500.0,2771,554489.0,45240.0,SELL,SELL,SELL,83.55501813784764,5906.25,6287.325779865369,5525.174220134631,80.43478260869566
4,2019-07-12,570000.0,2052,572052.0,0.0,BUY,BUY,BUY,7.235271950759952,5951.25,6396.074403557179,5506.425596442821,12.0
5,2019-11-13,595000.0,2737,572052.0,20211.0,SELL,SELL,SELL,80.24565738789155,5756.25,6158.703413453035,5353.796586546965,94.11764705882354
