,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,SO,MFII_14,SO_14
0,2019-05-14,24800.0,89,24889.0,0.0,BUY,BUY,10.039407321757295,7.6923076923076925
1,2019-06-11,27800.0,127,24889.0,2784.0,SELL,SELL,84.97448533891269,87.5
2,2019-10-01,25400.0,91,25491.0,0.0,BUY,BUY,16.698667060161682,0.0
