,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-02-08,59500.0,214,59714.0,0.0,BUY, ,615.5
1,2019-02-21,62500.0,287,59714.0,2499.0, ,SELL,613.0
2,2019-02-22,62500.0,225,62725.0,0.0,BUY, ,612.5
3,2019-02-25,61000.0,280,62725.0,-2005.0, ,SELL,611.75
4,2019-02-26,60500.0,217,60717.0,0.0,BUY, ,611.25
5,2019-03-21,58500.0,269,60717.0,-2486.0, ,SELL,584.25
6,2019-03-22,58000.0,208,58208.0,0.0,BUY, ,582.0
7,2019-04-03,57500.0,264,58208.0,-972.0,SELL, ,574.0
8,2019-04-04,55500.0,199,55699.0,0.0,BUY, ,572.5
9,2019-04-10,57500.0,264,55699.0,1537.0,SELL, ,573.0
10,2019-04-15,57000.0,205,57205.0,0.0,BUY, ,573.25
11,2019-04-19,57500.0,264,57205.0,31.0,SELL, ,571.75
12,2019-04-22,57000.0,205,57205.0,0.0,BUY, ,572.0
13,2019-04-23,60500.0,278,57205.0,3017.0,SELL, ,574.0
14,2019-04-25,57500.0,207,57707.0,0.0,BUY, ,575.25
15,2019-04-26,58000.0,266,57707.0,27.0, ,SELL,575.75
16,2019-04-29,58000.0,208,58208.0,0.0,BUY, ,576.0
17,2019-06-11,51500.0,236,58208.0,-6944.0, ,SELL,510.2
18,2019-06-13,54500.0,196,54696.0,0.0,BUY, ,511.95
19,2019-06-14,53000.0,243,54696.0,-1939.0,SELL, ,512.7
20,2019-06-17,50500.0,181,50681.0,0.0,BUY, ,512.45
21,2019-06-20,52000.0,239,50681.0,1080.0, ,SELL,513.5
22,2019-06-21,51000.0,183,51183.0,0.0,BUY, ,513.5
23,2019-06-25,53500.0,246,51183.0,2071.0, ,SELL,515.25
24,2019-06-26,51500.0,185,51685.0,0.0,BUY, ,514.75
25,2019-06-27,51500.0,236,51685.0,-421.0,SELL, ,514.75
26,2019-06-28,51500.0,185,51685.0,0.0,BUY, ,514.75
27,2019-07-01,52500.0,241,51685.0,574.0, ,SELL,515.5
28,2019-07-02,52000.0,187,52187.0,0.0,BUY, ,516.0
29,2019-09-09,37800.0,173,52187.0,-14560.0, ,SELL,360.0
30,2019-09-18,35400.0,127,35527.0,0.0,BUY, ,359.0
31,2019-10-28,33800.0,155,35527.0,-1882.0, ,SELL,321.9
32,2019-11-01,31800.0,114,31914.0,0.0,BUY, ,322.4
33,2019-11-05,32400.0,149,31914.0,337.0, ,SELL,322.7
34,2019-11-07,32000.0,115,32115.0,0.0,BUY, ,322.6
35,2019-12-10,29600.0,136,32115.0,-2651.0, ,SELL,276.6
36,2019-12-30,28000.0,100,28100.0,0.0,BUY, ,282.4
