,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,SO,MFII_14,SO_14
0,2019-07-02,50000.0,180,50180.0,0.0,BUY,BUY,18.49788893359934,5.405405405405405
1,2019-07-26,53500.0,246,50180.0,3074.0,SELL,SELL,80.61864566760988,100.0
2,2019-08-29,50000.0,180,50180.0,0.0,BUY,BUY,17.08966206989831,0.0
