,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
44,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14,LAYER_3,Fraksi_1
45,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20,LAYER_3,Fraksi_1
46,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20,LAYER_3,Fraksi_1
47,ADMG,34523.0,-13829.0,-40,498,3,2,SO_14,LAYER_3,Fraksi_1
44,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14,LAYER_3,Fraksi_1
45,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20,LAYER_3,Fraksi_1
46,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20,LAYER_3,Fraksi_1
47,ADMG,34523.0,-13829.0,-40,498,3,2,SO_14,LAYER_3,Fraksi_1
252,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_1
253,ADMG,34323.0,-14851.0,-43,1917,9,8,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_1
254,ADMG,31312.0,-6825.0,-21,310,2,1,MFII_14_AND_CCI_20,LAYER_3,Fraksi_1
255,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
256,ADMG,31111.0,-2841.0,-9,326,2,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_1
257,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
258,ADMG,34323.0,-15755.0,-45,1355,6,6,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
259,ADMG,34323.0,-15170.0,-44,3136,14,13,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
260,ADMG,34523.0,-13829.0,-40,498,3,2,BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
261,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
262,ADMG,34523.0,-11639.0,-33,508,3,2,CCI_20_AND_SO_14,LAYER_3,Fraksi_1
263,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20_OR_SO_14,LAYER_3,Fraksi_1
44,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14,LAYER_3,Fraksi_1
45,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20,LAYER_3,Fraksi_1
46,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20,LAYER_3,Fraksi_1
47,ADMG,34523.0,-13829.0,-40,498,3,2,SO_14,LAYER_3,Fraksi_1
252,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_1
253,ADMG,34323.0,-14851.0,-43,1917,9,8,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_1
254,ADMG,31312.0,-6825.0,-21,310,2,1,MFII_14_AND_CCI_20,LAYER_3,Fraksi_1
255,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
256,ADMG,31111.0,-2841.0,-9,326,2,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_1
257,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
258,ADMG,34323.0,-15755.0,-45,1355,6,6,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
259,ADMG,34323.0,-15170.0,-44,3136,14,13,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
